CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Total Spend,Last Purchase Days Ago,Churn
CUST_0065,34,Female,38,25,9,19,Basic,1414.86,86,1
CUST_0066,53,Female,6,15,6,11,Premium,3520.06,43,0
CUST_0067,67,Male,22,3,1,12,Basic,107.74,40,0
CUST_0068,57,Female,25,6,3,12,Basic,4370.39,303,0
CUST_0069,21,Female,18,3,5,9,Basic,248.86,169,1
CUST_0070,19,Female,17,29,8,6,Premium,3592.49,175,0
CUST_0071,23,Female,12,1,4,24,Standard,326.67,20,1
CUST_0072,59,Female,6,13,8,13,Premium,1404.6,109,0
CUST_0073,21,Male,26,28,4,29,Basic,2536.29,193,0
CUST_0074,46,Female,27,21,9,23,Standard,2157.7,244,1
CUST_0075,35,Female,8,26,7,15,Basic,1040.0,324,1
CUST_0076,43,Female,19,14,0,14,Standard,1735.69,280,0
CUST_0077,61,Female,42,13,6,11,Premium,3665.76,228,0
CUST_0078,51,Female,1,27,3,8,Standard,3379.36,36,0
CUST_0079,27,Male,57,4,4,7,Premium,451.89,45,0
CUST_0080,53,Female,29,7,5,17,Basic,3761.85,28,0
CUST_0081,31,Male,45,22,4,22,Standard,359.92,154,1
CUST_0082,48,Male,49,10,0,17,Basic,2760.34,23,0
CUST_0083,65,Male,35,7,8,12,Standard,1374.31,207,1
CUST_0084,32,Male,40,21,1,27,Premium,2979.68,91,0
CUST_0085,25,Female,14,15,8,26,Standard,1380.51,359,1
CUST_0086,31,Male,35,15,9,17,Standard,4926.29,38,1
CUST_0087,40,Male,48,4,1,14,Premium,1617.67,228,1
CUST_0088,57,Female,45,23,8,3,Premium,1285.61,202,0
CUST_0089,38,Female,20,23,5,16,Premium,1464.48,350,0
CUST_0090,33,Female,56,6,8,4,Standard,4492.72,309,0
CUST_0091,62,Male,49,24,5,21,Basic,3217.47,254,1
CUST_0092,35,Female,13,20,5,15,Standard,3680.35,38,0
CUST_0093,64,Female,38,26,1,8,Standard,4598.25,221,0
CUST_0094,41,Male,49,5,7,9,Basic,4568.18,187,0
CUST_0095,43,Female,46,20,2,23,Premium,3720.83,43,1
CUST_0096,42,Female,49,12,6,17,Standard,1069.34,359,1
CUST_0097,62,Female,8,1,4,16,Basic,4232.53,114,0
CUST_0098,58,Female,43,28,2,17,Premium,1098.5,260,1
CUST_0099,46,Male,20,8,0,6,Premium,3740.2,5,0
CUST_0100,32,Female,33,1,7,3,Standard,3459.46,68,0
CUST_0101,62,Female,26,5,2,25,Premium,3818.56,228,0
CUST_0102,18,Male,39,22,1,4,Premium,2710.16,123,0
CUST_0103,42,Female,21,6,0,27,Basic,3229.76,173,0
CUST_0104,24,Male,53,29,3,22,Basic,4771.27,336,0
CUST_0105,26,Female,49,21,7,15,Premium,595.33,153,1
CUST_0106,41,Male,42,3,2,2,Basic,1613.35,267,0
CUST_0107,18,Male,43,15,0,25,Premium,3095.65,157,1
CUST_0108,61,Male,54,5,3,17,Standard,4823.87,162,0
CUST_0109,25,Male,41,28,8,28,Basic,568.31,214,1
CUST_0110,41,Female,9,24,0,22,Premium,210.49,26,1
CUST_0111,28,Male,24,14,1,20,Premium,373.17,292,0
CUST_0112,68,Female,37,18,8,13,Basic,356.79,189,1
CUST_0113,34,Male,49,16,1,14,Basic,4548.3,122,0
CUST_0114,25,Male,41,6,2,16,Standard,3634.16,230,0
CUST_0115,52,Male,17,25,6,0,Premium,3417.82,59,0
CUST_0116,52,Female,24,24,2,24,Standard,2660.61,96,0
CUST_0117,50,Male,21,14,8,20,Standard,3931.57,262,1
CUST_0118,22,Female,51,27,5,16,Standard,862.68,354,1
CUST_0119,59,Female,59,24,2,22,Basic,2020.51,312,1
CUST_0120,56,Female,39,8,8,24,Standard,2501.02,136,1
CUST_0121,58,Female,55,29,0,10,Basic,641.01,350,0
CUST_0122,45,Female,41,7,9,16,Basic,2155.62,283,1
CUST_0123,24,Female,39,8,2,25,Standard,1650.86,120,1
CUST_0124,26,Female,13,13,0,13,Standard,274.35,25,0
CUST_0125,25,Female,11,6,1,28,Premium,770.0,342,1
CUST_0126,29,Female,46,18,7,19,Standard,3843.78,146,0
CUST_0127,51,Male,19,2,6,29,Premium,188.39,12,1
CUST_0128,50,Male,11,8,1,18,Standard,4677.84,87,0
CUST_0129,65,Male,13,11,1,20,Standard,523.48,109,0
CUST_0130,40,Male,46,1,8,6,Standard,4016.27,345,0
CUST_0131,41,Male,45,22,5,23,Standard,4503.22,266,0
CUST_0132,54,Female,1,29,4,12,Premium,4711.56,222,0
CUST_0133,52,Female,40,6,9,17,Premium,4350.64,74,0
CUST_0134,61,Female,44,16,5,22,Standard,1509.0,333,1
CUST_0135,57,Female,19,27,8,29,Standard,1732.13,310,1
CUST_0136,39,Female,12,20,6,13,Premium,2190.07,102,1
CUST_0137,44,Female,8,12,9,0,Basic,782.55,137,0
CUST_0138,52,Female,8,11,9,6,Basic,209.14,191,0
CUST_0139,18,Male,53,29,8,7,Basic,4358.7,142,0
CUST_0140,52,Male,45,27,3,17,Premium,2815.23,357,0
CUST_0141,54,Male,12,29,1,8,Premium,3082.74,73,0
CUST_0142,64,Male,48,10,7,0,Basic,4642.24,328,0
CUST_0143,31,Female,33,3,3,28,Basic,3359.09,167,1
CUST_0144,20,Female,45,13,8,21,Standard,3485.18,168,1
CUST_0145,18,Female,26,27,3,16,Premium,3956.15,54,0
CUST_0146,22,Male,39,3,7,18,Premium,670.11,259,1
CUST_0147,43,Female,28,15,8,26,Basic,1864.79,111,1
CUST_0148,31,Female,58,16,8,5,Basic,4844.22,232,0
CUST_0149,56,Female,5,29,9,2,Premium,4622.36,161,0
CUST_0150,44,Male,8,13,3,23,Standard,4431.97,352,0
CUST_0151,26,Female,25,17,0,4,Basic,2315.23,327,0
CUST_0152,32,Male,27,3,2,1,Premium,4300.25,19,0
CUST_0153,32,Male,46,20,8,19,Premium,337.14,290,1
CUST_0154,43,Male,23,11,3,24,Standard,827.74,50,1
CUST_0155,59,Male,30,27,4,3,Standard,2128.44,175,0
CUST_0156,30,Female,45,21,6,9,Basic,2468.62,302,0
CUST_0157,68,Male,47,19,4,9,Basic,1391.19,184,0
CUST_0158,49,Male,23,22,3,23,Basic,1846.74,185,0
CUST_0159,56,Female,49,11,1,20,Premium,897.6,339,0
CUST_0160,66,Female,47,28,1,10,Basic,2496.76,307,0
CUST_0161,69,Male,20,16,3,26,Premium,3989.83,310,0
CUST_0162,49,Female,18,21,9,15,Basic,3340.67,346,0
CUST_0163,21,Male,18,3,9,25,Standard,628.18,81,1
CUST_0164,47,Male,2,22,8,28,Standard,2489.15,156,1
CUST_0165,54,Male,4,6,7,28,Premium,3518.47,275,1
CUST_0166,40,Male,30,14,2,29,Standard,2696.49,283,1
CUST_0167,56,Female,33,24,8,16,Premium,2019.21,249,0
CUST_0168,62,Male,36,18,4,15,Premium,3147.38,147,0
CUST_0169,32,Female,18,17,2,6,Standard,4846.33,7,0
CUST_0170,60,Female,37,4,4,15,Premium,565.05,157,1
CUST_0171,46,Female,19,23,9,2,Standard,2011.08,171,0
CUST_0172,53,Female,47,15,3,25,Basic,2092.37,69,0
CUST_0173,30,Male,28,11,7,15,Basic,2927.14,94,0
CUST_0174,49,Female,40,26,4,7,Standard,845.66,363,0
CUST_0175,24,Male,20,3,9,29,Standard,965.55,186,1
CUST_0176,68,Female,49,3,7,11,Standard,1498.27,170,1
CUST_0177,39,Female,33,16,8,2,Standard,4783.76,204,0
CUST_0178,45,Male,12,5,3,16,Basic,3697.13,42,1
CUST_0179,19,Male,58,21,6,20,Premium,3342.3,13,1
CUST_0180,59,Male,51,29,1,17,Premium,4103.09,154,0
CUST_0181,62,Female,15,10,5,10,Basic,725.12,274,0
CUST_0182,23,Female,41,19,7,3,Premium,4310.73,298,0
CUST_0183,45,Male,39,25,6,15,Basic,3014.68,51,0
CUST_0184,45,Male,2,4,6,16,Premium,1743.11,212,1
CUST_0185,61,Male,29,29,7,8,Standard,4097.69,144,0
CUST_0186,61,Male,41,29,6,5,Standard,4032.57,357,0
CUST_0187,37,Female,10,19,4,23,Standard,4243.97,3,1
CUST_0188,47,Male,2,11,6,26,Basic,666.04,254,1
CUST_0189,28,Male,51,2,9,19,Basic,4849.87,335,1
CUST_0190,45,Male,11,10,2,24,Premium,4802.17,256,0
CUST_0191,42,Male,13,29,4,1,Premium,1851.6,98,0
CUST_0192,56,Female,10,11,6,8,Premium,422.88,173,0
CUST_0193,50,Male,14,25,8,27,Basic,918.57,150,1
CUST_0194,18,Female,18,20,1,20,Premium,4964.87,279,0
CUST_0195,44,Male,51,16,3,28,Standard,2858.76,59,1
CUST_0196,69,Male,54,19,6,5,Premium,1847.45,113,0
CUST_0197,30,Female,9,23,0,2,Standard,1512.19,324,0
CUST_0198,58,Male,57,24,1,19,Basic,1359.26,243,0
CUST_0199,20,Female,39,11,8,5,Standard,3354.35,310,0
CUST_0200,56,Female,28,14,9,6,Standard,2155.0,57,0
CUST_0201,23,Male,3,2,6,0,Standard,4830.51,60,0
CUST_0202,25,Female,20,23,9,22,Basic,3450.83,329,1
CUST_0203,44,Female,6,28,6,0,Basic,3981.02,216,0
CUST_0204,26,Female,27,5,5,4,Basic,1534.43,233,0
CUST_0205,54,Female,53,27,2,5,Basic,488.01,55,0
CUST_0206,50,Female,2,5,9,12,Premium,2490.33,208,1
CUST_0207,68,Female,29,19,2,1,Basic,1641.45,63,0
CUST_0208,59,Female,38,21,1,14,Standard,1090.21,184,0
CUST_0209,61,Female,3,12,5,14,Basic,4767.95,311,0
CUST_0210,41,Male,16,18,3,12,Premium,2275.54,281,0
CUST_0211,32,Male,30,4,4,25,Premium,956.07,26,1
CUST_0212,49,Female,40,22,2,24,Premium,1073.39,177,1
CUST_0213,49,Male,2,17,5,13,Standard,1475.48,63,0
CUST_0214,41,Female,17,10,2,25,Basic,4996.65,73,0
CUST_0215,58,Female,41,20,7,21,Basic,1413.26,335,1
CUST_0216,69,Male,12,6,8,6,Basic,1711.13,167,0
CUST_0217,66,Female,35,25,3,13,Standard,3330.71,225,0
CUST_0218,66,Female,43,14,8,25,Standard,1540.41,65,1
CUST_0219,69,Female,1,11,6,23,Premium,1157.44,69,1
CUST_0220,29,Female,55,11,2,26,Premium,877.32,9,0
CUST_0221,56,Male,45,29,6,28,Basic,1632.15,236,1
CUST_0222,19,Female,15,18,0,9,Standard,618.99,198,0
CUST_0223,20,Female,26,27,2,16,Standard,191.37,173,1
CUST_0224,66,Female,37,23,5,13,Basic,4042.74,282,0
CUST_0225,54,Male,21,22,3,7,Basic,775.69,28,0
CUST_0226,66,Female,49,18,6,3,Premium,3902.29,296,0
CUST_0227,34,Male,31,24,2,25,Premium,4007.96,134,0
CUST_0228,66,Male,25,23,0,15,Premium,2735.81,27,0
CUST_0229,19,Female,23,11,8,23,Basic,1617.44,38,1
CUST_0230,19,Female,24,21,5,12,Basic,810.66,196,0
CUST_0231,45,Male,57,12,7,21,Premium,3710.35,203,1
CUST_0232,40,Female,38,5,2,26,Premium,3046.8,85,0
CUST_0233,54,Male,28,23,7,24,Standard,3311.72,320,0
CUST_0234,49,Male,21,9,1,26,Standard,142.48,30,1
CUST_0235,50,Female,54,27,3,19,Premium,4644.83,99,0
CUST_0236,18,Female,43,25,2,17,Premium,424.82,190,0
CUST_0237,36,Male,18,9,9,13,Standard,1897.35,12,1
CUST_0238,19,Male,36,22,0,17,Premium,2073.29,91,0
CUST_0239,61,Male,35,10,6,4,Standard,106.64,30,0
CUST_0240,43,Male,45,22,9,25,Standard,2535.74,213,1
CUST_0241,49,Female,55,19,1,8,Standard,3788.76,38,0
CUST_0242,23,Female,9,1,3,27,Basic,4134.02,341,0
CUST_0243,49,Female,53,7,8,2,Basic,4409.05,60,0
CUST_0244,21,Female,38,4,5,7,Premium,2489.82,294,0
CUST_0245,28,Female,58,1,7,19,Standard,3190.12,360,1
CUST_0246,34,Male,30,15,1,21,Basic,489.65,143,0
CUST_0247,55,Female,44,8,6,9,Premium,2491.39,180,0
CUST_0248,41,Female,34,12,5,21,Premium,858.6,285,1
CUST_0249,22,Female,32,22,8,18,Premium,1911.25,112,1
CUST_0250,69,Female,3,22,6,29,Premium,1713.6,230,1
CUST_0251,51,Female,3,18,0,20,Premium,2175.35,21,0
CUST_0252,23,Male,28,15,7,27,Standard,2901.02,145,1
CUST_0253,39,Male,44,17,9,2,Premium,4524.1,146,0
CUST_0254,28,Male,15,29,2,10,Standard,2032.97,316,0
CUST_0255,65,Female,41,14,1,10,Basic,4907.54,166,0
CUST_0256,33,Male,23,14,2,16,Premium,3819.24,140,0
CUST_0257,50,Male,40,18,5,15,Basic,2606.26,203,1
CUST_0258,26,Female,11,20,2,6,Standard,3255.73,244,0
CUST_0259,23,Female,48,18,9,3,Standard,600.9,113,0
CUST_0260,33,Female,32,16,4,29,Basic,4238.16,201,1
CUST_0261,46,Male,58,1,5,22,Premium,2953.55,314,0
CUST_0262,20,Male,59,23,7,18,Premium,4931.73,259,1
CUST_0263,37,Female,57,27,6,11,Basic,3218.5,255,0
CUST_0264,53,Female,54,11,7,14,Basic,4187.15,23,0
CUST_0265,36,Male,36,15,2,10,Basic,4018.84,246,0
CUST_0266,43,Male,33,12,3,4,Premium,1792.76,339,0
CUST_0267,20,Female,24,8,5,4,Premium,1372.09,311,0
CUST_0268,36,Female,39,22,6,14,Premium,2209.42,318,1
CUST_0269,37,Male,34,20,8,28,Basic,2389.48,87,1
CUST_0270,49,Female,56,6,0,17,Premium,1276.42,219,0
CUST_0271,24,Male,28,3,7,10,Standard,4483.53,356,0
CUST_0272,69,Male,37,28,7,25,Basic,2758.48,27,1
CUST_0273,58,Male,7,24,5,11,Premium,4894.38,290,0
CUST_0274,50,Male,4,26,3,1,Basic,4069.09,289,0
CUST_0275,57,Female,37,13,2,19,Standard,2822.95,348,0
CUST_0276,56,Female,56,13,2,14,Standard,4740.5,223,0
CUST_0277,35,Male,1,2,5,19,Basic,2573.89,352,1
CUST_0278,57,Male,1,5,7,3,Basic,4446.82,178,0
CUST_0279,18,Male,47,17,6,21,Standard,1854.91,148,1
CUST_0280,28,Male,20,6,0,17,Basic,1955.35,227,0
CUST_0281,45,Male,19,2,5,5,Standard,2148.84,351,0
CUST_0282,42,Female,29,4,6,22,Standard,2778.47,186,1
CUST_0283,67,Female,10,22,6,26,Premium,2812.1,294,1
CUST_0284,40,Female,18,26,8,25,Basic,2532.35,41,1
CUST_0285,48,Female,28,11,9,18,Basic,1599.4,191,1
CUST_0286,47,Male,35,8,4,10,Premium,4643.31,79,0
CUST_0287,59,Male,43,12,0,27,Standard,2984.07,205,1
CUST_0288,52,Male,47,8,1,23,Basic,2097.92,278,0
CUST_0289,24,Male,31,11,3,1,Premium,3290.77,272,0
CUST_0290,33,Male,27,22,4,26,Premium,3863.04,32,0
CUST_0291,43,Female,11,20,8,7,Basic,4807.57,142,0
CUST_0292,65,Male,49,8,0,28,Premium,2547.79,251,1
CUST_0293,69,Female,49,29,2,10,Standard,649.28,294,0
CUST_0294,66,Female,38,8,4,4,Premium,2259.75,98,0
CUST_0295,19,Female,5,26,2,17,Standard,2446.96,136,0
CUST_0296,18,Female,8,17,3,22,Standard,4495.27,277,0
CUST_0297,65,Male,34,20,2,29,Basic,2034.52,312,1
CUST_0298,29,Female,48,20,3,17,Premium,4771.29,302,0
CUST_0299,22,Female,52,23,0,13,Standard,2477.15,43,0
CUST_0300,54,Female,56,16,7,21,Standard,4871.52,120,1
CUST_0301,49,Male,12,14,3,9,Premium,140.17,220,0
CUST_0302,26,Male,38,11,6,2,Standard,4504.2,46,0
CUST_0303,58,Male,1,7,1,8,Premium,4662.49,236,0
CUST_0304,52,Female,31,16,1,2,Basic,4809.0,48,0
CUST_0305,36,Female,4,13,5,10,Standard,164.08,198,1
CUST_0306,65,Male,49,27,1,11,Standard,941.33,84,0
CUST_0307,33,Female,45,15,5,11,Premium,3303.45,31,0
CUST_0308,20,Male,50,24,1,2,Premium,224.82,161,0
CUST_0309,37,Male,5,16,3,20,Premium,411.68,71,1
CUST_0310,41,Female,30,27,6,6,Premium,1183.29,8,0
CUST_0311,50,Female,56,21,7,13,Standard,2610.95,52,0
CUST_0312,41,Female,24,23,2,23,Basic,2774.92,45,0
CUST_0313,69,Female,59,24,8,27,Basic,267.88,293,1
CUST_0314,28,Male,3,9,1,10,Basic,934.8,300,0
CUST_0315,66,Male,11,3,7,6,Basic,2548.56,38,0
CUST_0316,25,Male,45,19,7,24,Premium,3010.31,355,1
CUST_0317,53,Male,4,20,3,20,Standard,827.17,231,0
CUST_0318,55,Male,26,5,0,9,Standard,2054.32,262,0
CUST_0319,57,Female,27,10,0,10,Standard,4531.57,68,0
CUST_0320,37,Male,46,17,1,14,Premium,4994.61,179,0
CUST_0321,52,Male,54,15,8,18,Standard,4937.35,357,1
CUST_0322,65,Male,43,23,1,15,Premium,4420.21,186,0
CUST_0323,42,Female,27,25,1,21,Standard,2033.83,201,0
CUST_0324,52,Female,42,8,5,20,Basic,3464.21,13,1
CUST_0325,42,Female,51,15,6,27,Premium,2141.3,214,1
CUST_0326,46,Female,50,21,6,19,Standard,3277.78,220,1
CUST_0327,35,Male,6,14,8,11,Basic,1616.22,286,0
CUST_0328,63,Male,59,20,5,17,Basic,3070.39,244,0
CUST_0329,35,Female,15,28,7,22,Basic,2666.42,356,1
CUST_0330,19,Female,53,7,5,12,Premium,219.95,258,0
CUST_0331,52,Male,30,21,1,4,Premium,3974.44,58,0
CUST_0332,33,Male,42,23,0,3,Standard,158.3,36,0
CUST_0333,58,Female,37,12,4,27,Basic,1536.46,328,0
CUST_0334,53,Female,58,17,8,13,Standard,129.03,193,0
CUST_0335,50,Female,37,17,7,7,Standard,1943.39,333,1
CUST_0336,21,Female,42,10,3,8,Basic,409.49,50,0
CUST_0337,50,Male,37,29,4,24,Standard,4576.2,32,1
CUST_0338,31,Male,35,19,4,18,Premium,2136.83,98,0
CUST_0339,38,Male,23,14,5,2,Standard,2351.53,43,0
CUST_0340,65,Female,6,11,2,4,Basic,1814.27,351,0
CUST_0341,37,Female,4,2,4,20,Premium,3174.78,334,1
CUST_0342,25,Male,18,18,1,25,Premium,3943.6,310,0
CUST_0343,24,Male,9,7,9,17,Standard,3275.92,47,1
CUST_0344,20,Male,49,12,0,0,Standard,3766.21,270,0
CUST_0345,34,Male,29,26,0,7,Premium,4539.27,311,0
CUST_0346,50,Female,13,2,9,18,Standard,4331.38,63,1
CUST_0347,65,Male,59,27,6,16,Basic,3402.89,19,0
CUST_0348,29,Male,47,20,1,16,Standard,1151.73,347,0
CUST_0349,68,Male,52,18,3,10,Standard,3224.74,101,0
CUST_0350,39,Male,17,6,4,1,Premium,2579.81,37,0
CUST_0351,39,Male,45,24,6,5,Standard,3614.37,107,0
CUST_0352,63,Male,32,10,1,21,Standard,4181.37,92,0
CUST_0353,47,Male,48,20,5,13,Standard,3739.34,308,0
CUST_0354,55,Female,22,15,0,2,Basic,4248.15,185,0
CUST_0355,55,Female,4,5,6,11,Standard,412.95,216,1
CUST_0356,62,Female,5,20,8,3,Basic,254.94,28,1
CUST_0357,68,Female,37,3,4,11,Basic,1366.65,36,0
CUST_0358,25,Male,41,5,4,12,Basic,4513.26,320,0
CUST_0359,44,Female,49,25,3,1,Basic,4135.93,18,0
CUST_0360,44,Female,13,8,2,1,Premium,3445.36,345,0
CUST_0361,51,Male,34,8,8,14,Basic,3533.72,196,0
CUST_0362,38,Male,45,8,4,22,Standard,3660.69,78,0
CUST_0363,47,Female,22,12,7,28,Basic,4718.75,167,1
CUST_0364,50,Female,53,24,8,16,Standard,4177.74,90,0
CUST_0365,45,Male,59,23,4,6,Basic,3154.61,264,0
CUST_0366,64,Female,23,8,9,29,Premium,3362.01,208,1
CUST_0367,50,Male,51,11,8,27,Basic,1147.33,212,1
CUST_0368,22,Male,3,14,1,13,Basic,3320.86,271,0
CUST_0369,65,Male,42,8,8,11,Premium,2180.93,263,1
CUST_0370,36,Male,34,29,3,29,Basic,849.51,273,1
CUST_0371,21,Female,32,24,5,16,Standard,4051.37,342,0
CUST_0372,52,Male,45,28,5,13,Basic,2600.21,214,0
CUST_0373,66,Male,51,10,5,5,Basic,4889.38,64,0
CUST_0374,34,Female,58,7,1,18,Basic,1480.23,12,0
CUST_0375,61,Male,49,28,6,23,Premium,2455.28,210,1
CUST_0376,45,Female,21,17,5,5,Basic,2295.18,312,0
CUST_0377,47,Female,46,4,0,26,Basic,691.82,174,1
CUST_0378,46,Female,44,29,1,17,Standard,2187.96,256,0
CUST_0379,63,Male,21,13,6,23,Basic,1509.01,101,1
CUST_0380,23,Female,44,4,0,4,Basic,885.57,16,0
CUST_0381,52,Female,11,5,0,23,Basic,1482.56,197,0
CUST_0382,58,Male,39,26,0,23,Basic,1242.93,258,0
CUST_0383,54,Female,4,22,7,5,Standard,3696.96,244,0
CUST_0384,41,Female,51,4,3,1,Standard,250.8,348,0
CUST_0385,46,Female,1,18,3,7,Premium,3125.57,249,0
CUST_0386,66,Female,28,6,1,14,Basic,3827.24,105,0
CUST_0387,63,Female,24,24,0,14,Premium,2455.54,182,0
CUST_0388,48,Male,35,24,9,10,Premium,4664.67,155,0
CUST_0389,52,Female,13,23,8,21,Basic,3568.62,287,1
CUST_0390,50,Female,47,22,6,21,Standard,3764.83,169,1
CUST_0391,69,Male,34,2,3,23,Standard,1064.97,47,1
CUST_0392,38,Male,11,23,5,0,Basic,3908.75,43,0
CUST_0393,49,Male,36,11,1,17,Basic,4177.26,321,0
CUST_0394,40,Female,51,28,6,11,Standard,1870.21,306,1
CUST_0395,50,Male,17,14,1,11,Basic,1145.48,221,0
CUST_0396,20,Female,35,5,9,24,Basic,1986.75,1,1
CUST_0397,35,Female,18,6,7,10,Basic,3724.08,200,0
CUST_0398,42,Male,40,10,7,27,Standard,2146.43,144,1
CUST_0399,59,Male,22,8,0,7,Premium,3709.59,28,0
CUST_0400,48,Female,57,14,7,27,Premium,656.47,342,1
CUST_0401,20,Male,24,24,1,6,Basic,4049.46,338,0
CUST_0402,57,Female,58,3,5,22,Standard,1340.72,278,1
CUST_0403,63,Male,19,12,0,20,Basic,1319.75,41,0
CUST_0404,41,Male,37,16,4,1,Standard,2992.87,332,0
CUST_0405,67,Male,39,28,6,10,Basic,443.58,147,1
CUST_0406,49,Female,21,23,9,21,Standard,228.86,345,1
CUST_0407,64,Male,8,17,0,9,Standard,1379.04,178,0
CUST_0408,39,Female,28,1,1,2,Premium,2736.53,315,0
CUST_0409,40,Female,5,23,6,19,Basic,4547.32,325,0
CUST_0410,19,Female,17,10,5,28,Premium,4247.53,167,0
CUST_0411,44,Female,37,25,2,9,Premium,2503.19,123,0
CUST_0412,59,Male,36,23,9,27,Standard,281.55,74,1
CUST_0413,19,Female,54,10,1,26,Basic,2722.74,239,1
CUST_0414,43,Female,19,21,9,17,Standard,3553.5,249,1
CUST_0415,34,Male,27,24,3,13,Standard,1761.91,263,0
CUST_0416,57,Female,53,2,2,17,Standard,644.21,252,1
CUST_0417,50,Male,34,9,6,27,Basic,1464.98,357,1
CUST_0418,26,Female,11,22,7,23,Basic,3880.79,111,1
CUST_0419,60,Male,54,13,1,7,Standard,1821.09,180,0
CUST_0420,65,Female,45,25,9,9,Basic,4078.71,188,0
CUST_0421,56,Male,47,16,6,21,Standard,1665.66,308,0
CUST_0422,46,Female,12,18,7,12,Basic,901.42,207,0
